driver_trip,prob
3531_83,0.8678
3531_84,0.9806
3531_85,0.8426
3531_86,0.8402
3531_87,0.8724
3531_88,0.9684
3531_89,0.9006
3531_9,0.8614
3531_90,0.7594
3531_91,0.8996
3531_92,0.7664
3531_93,0.8112
3531_94,0.0448
3531_95,0.9104
3531_96,0.8562
3531_97,0.7238
3531_98,0.7982
3531_99,0.9146
3256_1,0.9604
3256_10,0.7872
3256_100,0.8588
3256_101,0.722
3256_102,0.624
3256_103,0.8594
3256_104,0.9574
3256_105,0.9946
3256_106,0.9426
3256_107,0.8558
3256_108,0.9298
3256_109,0.9428
3256_11,0.7938
3256_110,0.7442
3256_111,0.9306
3256_112,0.9142
3256_113,0.8936
3256_114,0.8006
3256_115,0.7766
3256_116,0.9482
3256_117,0.7278
3256_118,0.007
3256_119,0.6796
3256_12,0.9606
3256_120,0.917
3256_121,0.9584
3256_122,0.8578
3256_123,0.9184
3256_124,0.8844
3256_125,0.7524
3256_126,0.9704
3256_127,0.8976
3256_128,0.8118
3256_129,0.8268
3256_13,0.9576
3256_130,0.831
3256_131,0.9526
3256_132,0.8566
3256_133,0.926
3256_134,0.834
3256_135,0.7892
3256_136,0.8642
3256_137,0.96
3256_138,0.982
3256_139,0.9396
3256_14,0.9264
3256_140,0.9768
3256_141,0.9226
3256_142,0.8112
3256_143,0.8602
3256_144,0.7756
3256_145,0.8716
3256_146,0.8058
3256_147,0.9796
3256_148,0.6812
3256_149,0.9356
3256_15,0.9384
3256_150,0.9496
3256_151,0.9052
3256_152,0.7784
3256_153,0.879
3256_154,0.9872
3256_155,0.9278
3256_156,0.8562
3256_157,0.8122
3256_158,0.9558
3256_159,0.848
3256_16,0.8096
3256_160,0.9858
3256_161,0.0
3256_162,0.0288
3256_163,0.9808
3256_164,0.9544
3256_165,0.7048
3256_166,0.7516
3256_167,0.7892
3256_168,0.979
3256_169,0.9276
3256_17,0.9644
3256_170,0.8838
3256_171,0.679
3256_172,0.9726
3256_173,0.0026
3256_174,0.951
3256_175,0.855
3256_176,0.8794
3256_177,0.7874
3256_178,0.7164
3256_179,0.6588
3256_18,0.944
3256_180,0.8792
3256_181,0.959
3256_182,0.8652
3256_183,0.8922
3256_184,0.7728
3256_185,0.939
3256_186,0.9242
3256_187,0.9328
3256_188,0.8618
3256_189,0.7554
3256_19,0.9246
3256_190,0.9274
3256_191,0.9856
3256_192,0.8554
3256_193,0.953
3256_194,0.9976
3256_195,0.7906
3256_196,0.933
3256_197,0.6874
3256_198,0.6394
3256_199,0.0216
3256_2,0.9544
3256_20,0.9174
3256_200,0.9676
3256_21,0.9684
3256_22,0.8244
3256_23,0.6438
3256_24,0.9448
3256_25,0.99
3256_26,0.9214
3256_27,0.891
3256_28,0.6984
3256_29,0.0868
3256_3,0.8052
3256_30,0.9426
3256_31,0.9258
3256_32,0.9022
3256_33,0.981
3256_34,0.882
3256_35,0.9746
3256_36,0.9412
3256_37,0.0056
3256_38,0.824
3256_39,0.0064
3256_4,0.8454
3256_40,0.9138
3256_41,0.8704
3256_42,0.0002
3256_43,0.824
3256_44,0.9192
3256_45,0.9742
3256_46,0.017
3256_47,0.817
3256_48,0.631
3256_49,0.026
3256_5,0.7518
3256_50,0.9306
3256_51,0.9794
3256_52,0.7888
3256_53,0.9422
3256_54,0.8808
3256_55,0.7254
3256_56,0.8562
3256_57,0.9486
3256_58,0.8638
3256_59,0.8428
3256_6,0.9906
3256_60,0.9512
3256_61,0.7784
3256_62,0.8212
3256_63,0.874
3256_64,0.0016
3256_65,0.712
3256_66,0.6836
3256_67,0.9366
3256_68,0.9866
3256_69,0.898
3256_7,0.91
3256_70,0.9464
3256_71,0.8308
3256_72,0.896
3256_73,0.8376
3256_74,0.9592
3256_75,0.7632
3256_76,0.7526
3256_77,0.9498
3256_78,0.8672
3256_79,0.8176
3256_8,0.7616
3256_80,0.9932
3256_81,0.9808
3256_82,0.9624
3256_83,0.0166
3256_84,0.687
3256_85,0.9458
3256_86,0.987
3256_87,0.9614
3256_88,0.9644
3256_89,0.8576
3256_9,0.8444
3256_90,0.9796
3256_91,0.928
3256_92,0.07
3256_93,0.98
3256_94,0.9714
3256_95,0.902
3256_96,0.6278
3256_97,0.8986
3256_98,0.9592
3256_99,0.7174
2714_1,0.8324
2714_10,0.8138
2714_100,0.969
2714_101,0.9132
2714_102,0.7146
2714_103,0.832
2714_104,0.9184
2714_105,0.878
2714_106,0.6998
2714_107,0.779
2714_108,0.7754
2714_109,0.9958
2714_11,0.7804
2714_110,0.7318
2714_111,0.636
2714_112,0.0312
2714_113,0.875
2714_114,0.8242
2714_115,0.7844
2714_116,0.8312
2714_117,0.7816
2714_118,0.9626
2714_119,0.6724
2714_12,0.8528
2714_120,0.9172
2714_121,0.8766
2714_122,0.0478
2714_123,0.066
2714_124,0.696
2714_125,0.8984
2714_126,0.8968
2714_127,0.7516
2714_128,0.9274
2714_129,0.9192
2714_13,0.7202
2714_130,0.669
2714_131,0.9484
2714_132,0.7834
2714_133,0.7566
2714_134,0.8578
2714_135,0.7074
2714_136,0.8504
2714_137,0.8738
2714_138,0.865
2714_139,0.8598
2714_14,0.9682
2714_140,0.9666
2714_141,0.127
2714_142,0.9032
2714_143,0.8236
2714_144,0.782
2714_145,0.8244
2714_146,0.8872
2714_147,0.809
2714_148,0.9546
2714_149,0.9742
2714_15,0.68
2714_150,0.6742
2714_151,0.6374
2714_152,0.89
2714_153,0.864
2714_154,0.7308
2714_155,0.7382
2714_156,0.951
2714_157,0.8908
2714_158,0.994
2714_159,0.9058
2714_16,0.9742
2714_160,0.951
2714_161,0.9546
2714_162,0.8336
2714_163,0.7416
2714_164,0.9216
2714_165,0.708
2714_166,0.9182
2714_167,0.9394
2714_168,0.6962
2714_169,0.6966
2714_17,0.8616
2714_170,0.9026
2714_171,0.6854
2714_172,0.8112
2714_173,0.794
2714_174,0.904
2714_175,0.023
2714_176,0.9348
2714_177,0.0534
2714_178,0.7082
2714_179,0.6808
2714_18,0.7776
2714_180,0.8452
2714_181,0.9758
2714_182,0.9894
2714_183,0.7642
2714_184,0.8342
2714_185,0.759
2714_186,0.8176
2714_187,0.8272
2714_188,0.9546
2714_189,0.98
2714_19,0.846
2714_190,0.8146
2714_191,0.8624
2714_192,0.9314
2714_193,0.754
2714_194,0.6812
2714_195,0.9334
2714_196,0.9208
2714_197,0.9636
2714_198,0.9416
2714_199,0.8196
2714_2,0.7132
2714_20,0.7992
2714_200,0.8378
2714_21,0.6874
2714_22,0.7
2714_23,0.8772
2714_24,0.7814
2714_25,0.9774
2714_26,0.8188
2714_27,0.7202
2714_28,0.9298
2714_29,0.7142
2714_3,0.913
2714_30,0.818
2714_31,0.8982
2714_32,0.9824
2714_33,0.8882
2714_34,0.0162
2714_35,0.8524
2714_36,0.9452
2714_37,0.8752
2714_38,0.93
2714_39,0.7116
2714_4,0.9966
2714_40,0.7848
2714_41,0.73
2714_42,0.9682
2714_43,0.8408
2714_44,0.8014
2714_45,0.9372
2714_46,0.82
2714_47,0.7054
2714_48,0.9864
2714_49,0.7796
2714_5,0.0236
2714_50,0.7304
2714_51,0.9504
2714_52,0.9842
2714_53,0.8948
2714_54,0.8368
2714_55,0.6668
2714_56,0.0286
2714_57,0.8698
2714_58,0.8136
2714_59,0.7686
2714_6,0.8418
2714_60,0.9676
2714_61,0.6898
2714_62,0.901
2714_63,0.9106
2714_64,0.742
2714_65,0.738
2714_66,0.7618
2714_67,0.7254
2714_68,0.7492
2714_69,0.0996
2714_7,0.8466
2714_70,0.785
2714_71,0.0318
2714_72,0.8876
2714_73,0.678
2714_74,0.6972
2714_75,0.9714
2714_76,0.8246
2714_77,0.8488
2714_78,0.6348
2714_79,0.7536
2714_8,0.88
2714_80,0.803
2714_81,0.986
2714_82,0.8912
2714_83,0.9086
2714_84,0.7472
2714_85,0.9888
2714_86,0.6522
2714_87,0.9218
2714_88,0.9134
2714_89,0.7284
2714_9,0.9898
2714_90,0.8436
2714_91,0.6388
2714_92,0.7726
2714_93,0.8964
2714_94,0.0448
2714_95,0.9716
2714_96,0.9716
2714_97,0.7728
2714_98,0.8778
2714_99,0.6782
3144_1,0.9926
3144_10,0.738
3144_100,0.7506
3144_101,0.7192
3144_102,0.8448
3144_103,0.9882
3144_104,0.9146
3144_105,0.9988
3144_106,0.6998
3144_107,0.8054
3144_108,0.87
3144_109,0.9984
3144_11,0.7214
3144_110,0.6996
3144_111,0.9612
3144_112,0.9182
3144_113,0.913
3144_114,0.6828
3144_115,0.6922
3144_116,0.992
3144_117,0.9824
3144_118,0.997
3144_119,0.667
3144_12,0.0742
3144_120,0.9302
3144_121,0.9924
3144_122,0.7716
3144_123,0.85
3144_124,0.9662
3144_125,0.7154
3144_126,0.9908
3144_127,0.8442
3144_128,0.8606
3144_129,0.7576
3144_13,0.7744
3144_130,0.6854
3144_131,0.9564
3144_132,0.0172
3144_133,0.7974
3144_134,0.6608
3144_135,0.8146
3144_136,0.9662
3144_137,0.9366
3144_138,0.6846
3144_139,0.9988
3144_14,0.9448
3144_140,0.757
3144_141,0.9
3144_142,0.7298
3144_143,0.9486
3144_144,0.9586
3144_145,0.9948
3144_146,0.9646
3144_147,0.913
3144_148,0.7936
3144_149,0.812
3144_15,0.9242
3144_150,0.8446
3144_151,0.7052
3144_152,0.6724
3144_153,0.8068
3144_154,0.7574
3144_155,0.7148
3144_156,0.9784
3144_157,0.7624
3144_158,0.964
3144_159,0.7532
3144_16,0.9282
3144_160,0.936
3144_161,0.8994
3144_162,0.9704
3144_163,0.834
3144_164,0.9154
3144_165,0.9262
3144_166,0.6498
3144_167,0.719
3144_168,0.974
3144_169,0.9584
3144_17,0.992
3144_170,0.9982
3144_171,0.6788
3144_172,0.8598
3144_173,0.9678
3144_174,0.874
3144_175,0.9542
3144_176,0.6848
3144_177,0.9956
3144_178,0.881
3144_179,0.995
3144_18,0.6854
3144_180,0.8978
3144_181,0.9878
3144_182,0.8326
3144_183,0.7128
3144_184,0.6452
3144_185,0.9414
3144_186,0.7808
3144_187,0.0692
3144_188,0.9794
3144_189,0.0856
3144_19,0.9854
3144_190,0.7236
3144_191,0.8386
3144_192,0.8596
3144_193,0.69
3144_194,0.9914
3144_195,0.9962
3144_196,0.9754
3144_197,0.9378
3144_198,0.9898
3144_199,0.68
3144_2,0.6982
3144_20,0.897
3144_200,0.9332
3144_21,0.7014
3144_22,0.0332
3144_23,0.7606
3144_24,0.8388
3144_25,0.8942
3144_26,0.9458
3144_27,0.9278
3144_28,0.01
3144_29,0.9692
3144_3,0.6396
3144_30,0.9968
3144_31,0.8076
3144_32,0.987
3144_33,0.7428
3144_34,0.9474
3144_35,0.8004
3144_36,0.7582
3144_37,0.7048
3144_38,0.78
3144_39,0.7388
3144_4,0.9476
3144_40,0.8924
3144_41,0.822
3144_42,0.6934
3144_43,0.9682
3144_44,0.939
3144_45,0.7424
3144_46,0.9694
3144_47,0.8608
3144_48,0.9938
3144_49,0.9014
3144_5,0.902
3144_50,0.8126
3144_51,0.8882
3144_52,0.688
3144_53,0.6948
3144_54,0.6772
3144_55,0.971
3144_56,0.8156
3144_57,0.007
3144_58,0.9506
3144_59,0.7134
3144_6,0.9908
3144_60,0.994
3144_61,0.047
3144_62,0.9812
3144_63,0.9714
3144_64,0.9808
3144_65,0.9774
3144_66,0.9864
3144_67,0.8296
3144_68,0.0532
3144_69,0.9926
3144_7,0.0278
3144_70,0.814
3144_71,0.8124
3144_72,0.917
3144_73,0.9808
3144_74,0.912
3144_75,0.7064
3144_76,0.9206
3144_77,0.6636
3144_78,0.8862
3144_79,0.6554
3144_8,0.6744
3144_80,0.804
3144_81,0.705
3144_82,0.7342
3144_83,0.8808
3144_84,0.7146
3144_85,0.7852
3144_86,0.987
3144_87,0.99
3144_88,0.7616
3144_89,0.8648
3144_9,0.9912
3144_90,0.9608
3144_91,0.9922
3144_92,0.7218
3144_93,0.9776
3144_94,0.9624
3144_95,0.9586
3144_96,0.8634
3144_97,0.6938
3144_98,0.9724
3144_99,0.8212
2284_1,0.9714
2284_10,0.0532
2284_100,0.7694
2284_101,0.7356
2284_102,0.8918
2284_103,0.7214
2284_104,0.1182
2284_105,0.8372
2284_106,0.8
2284_107,0.7648
2284_108,0.7748
2284_109,0.6716
2284_11,0.712
2284_110,0.7596
2284_111,0.6804
2284_112,0.7888
2284_113,0.7148
2284_114,0.7578
2284_115,0.7366
2284_116,0.9698
2284_117,0.8258
2284_118,0.7536
2284_119,0.7842
2284_12,0.7126
2284_120,0.0452
2284_121,0.7714
2284_122,0.732
2284_123,0.8016
2284_124,0.8272
2284_125,0.6828
2284_126,0.755
2284_127,0.7382
2284_128,0.7624
2284_129,0.7218
2284_13,0.9848
2284_130,0.7576
2284_131,0.8386
2284_132,0.8626
2284_133,0.6912
2284_134,0.7414
2284_135,0.9952
2284_136,0.8218
2284_137,0.7962
2284_138,0.8422
2284_139,0.0474
2284_14,0.8386
2284_140,0.7574
2284_141,0.6666
2284_142,0.8166
2284_143,0.8024
2284_144,0.8244
2284_145,0.9546
2284_146,0.685
2284_147,0.9858
2284_148,0.7064
2284_149,0.8196
2284_15,0.7296
2284_150,0.7992
2284_151,0.8188
2284_152,0.793
2284_153,0.7136
2284_154,0.8794
2284_155,0.7612
2284_156,0.7908
2284_157,0.8022
2284_158,0.9158
2284_159,0.743
2284_16,0.6742
2284_160,0.976
2284_161,0.7224
2284_162,0.745
2284_163,0.7902
2284_164,0.8312
2284_165,0.9394
2284_166,0.83
2284_167,0.6854
2284_168,0.716
2284_169,0.8178
2284_17,0.995
2284_170,0.9286
2284_171,0.762
2284_172,0.8074
2284_173,0.7236
2284_174,0.974
2284_175,0.6702
2284_176,0.8072
2284_177,0.7446
2284_178,0.725
2284_179,0.8704
2284_18,0.8402
2284_180,0.9566
2284_181,0.838
2284_182,0.7858
2284_183,0.6974
2284_184,0.706
2284_185,0.8382
2284_186,0.7218
2284_187,0.8458
2284_188,0.7118
2284_189,0.9532
2284_19,0.983
2284_190,0.8142
2284_191,0.7418
2284_192,0.6908
2284_193,0.949
2284_194,0.7422
2284_195,0.7548
2284_196,0.741
2284_197,0.9458
2284_198,0.8386
2284_199,0.7406
2284_2,0.7854
2284_20,0.6442
2284_200,0.7386
2284_21,0.7692
2284_22,0.8224
2284_23,0.8214
2284_24,0.8784
2284_25,0.8604
2284_26,0.0366
2284_27,0.756
2284_28,0.6976
2284_29,0.7952
2284_3,0.7312
2284_30,0.7146
2284_31,0.6978
2284_32,0.715
2284_33,0.7608
2284_34,0.7218
2284_35,0.7104
2284_36,0.8002
2284_37,0.6984
2284_38,0.7836
2284_39,0.754
2284_4,0.691
2284_40,0.6812
2284_41,0.6806
2284_42,0.8586
2284_43,0.7326
2284_44,0.9808
2284_45,0.7514
2284_46,0.7708
2284_47,0.7708
2284_48,0.6774
2284_49,0.988
2284_5,0.9488
2284_50,0.832
2284_51,0.0372
2284_52,0.9788
2284_53,0.7716
2284_54,0.8112
2284_55,0.9714
2284_56,0.91
2284_57,0.7752
2284_58,0.938
2284_59,0.8428
2284_6,0.7686
2284_60,0.9808
2284_61,0.7942
2284_62,0.6948
2284_63,0.7486
2284_64,0.8212
2284_65,0.7442
2284_66,0.6922
2284_67,0.7766
2284_68,0.9918
2284_69,0.8604
2284_7,0.829
2284_70,0.9284
2284_71,0.7458
2284_72,0.8406
2284_73,0.6616
2284_74,0.8344
2284_75,0.69
2284_76,0.985
2284_77,0.0516
2284_78,0.7214
2284_79,0.6918
2284_8,0.693
2284_80,0.8484
2284_81,0.9064
2284_82,0.877
2284_83,0.7928
2284_84,0.7936
2284_85,0.684
2284_86,0.8392
2284_87,0.755
2284_88,0.819
2284_89,0.9076
2284_9,0.9276
2284_90,0.7656
2284_91,0.8178
2284_92,0.7578
2284_93,0.7924
2284_94,0.7378
2284_95,0.6588
2284_96,0.8398
2284_97,0.7576
2284_98,0.7494
2284_99,0.7638
2044_1,0.9178
2044_10,0.8194
2044_100,0.882
2044_101,0.8572
2044_102,0.7442
2044_103,0.6694
2044_104,0.9148
2044_105,0.822
2044_106,0.883
2044_107,0.7178
2044_108,0.7068
2044_109,0.881
2044_11,0.9038
2044_110,0.817
2044_111,0.9266
2044_112,0.8708
2044_113,0.0226
2044_114,0.8036
2044_115,0.8182
2044_116,0.776
2044_117,0.7758
2044_118,0.8766
2044_119,0.8762
2044_12,0.6986
2044_120,0.8116
2044_121,0.7064
2044_122,0.7752
2044_123,0.8348
2044_124,0.858
2044_125,0.9216
2044_126,0.6738
2044_127,0.7976
2044_128,0.7806
2044_129,0.024
2044_13,0.7824
2044_130,0.65
2044_131,0.9524
2044_132,0.8752
2044_133,0.9358
2044_134,0.7868
2044_135,0.7936
2044_136,0.7558
2044_137,0.7318
2044_138,0.8158
2044_139,0.6894
2044_14,0.8448
2044_140,0.6704
2044_141,0.766
2044_142,0.0804
2044_143,0.9018
2044_144,0.8718
2044_145,0.7076
2044_146,0.6834
2044_147,0.8642
2044_148,0.7798
2044_149,0.8774
2044_15,0.6828
2044_150,0.6762
2044_151,0.8382
2044_152,0.7156
2044_153,0.688
2044_154,0.8602
2044_155,0.7566
2044_156,0.9118
2044_157,0.6586
2044_158,0.6846
2044_159,0.8118
2044_16,0.0626
2044_160,0.8792
2044_161,0.8714
2044_162,0.8724
2044_163,0.849
2044_164,0.9142
2044_165,0.917
2044_166,0.8768
2044_167,0.8844
2044_168,0.8492
2044_169,0.0408
2044_17,0.7238
2044_170,0.8926
2044_171,0.786
2044_172,0.857
2044_173,0.6568
2044_174,0.8022
2044_175,0.0404
2044_176,0.9688
2044_177,0.8574
2044_178,0.7618
2044_179,0.8648
2044_18,0.788
2044_180,0.765
2044_181,0.6648
2044_182,0.7214
2044_183,0.784
2044_184,0.9232
2044_185,0.6578
2044_186,0.8332
2044_187,0.7962
2044_188,0.9498
2044_189,0.6516
2044_19,0.7342
2044_190,0.8126
2044_191,0.786
2044_192,0.6738
2044_193,0.895
2044_194,0.7826
2044_195,0.9298
2044_196,0.9002
2044_197,0.898
2044_198,0.8356
2044_199,0.005
2044_2,0.725
2044_20,0.7772
2044_200,0.6826
2044_21,0.6738
2044_22,0.839
2044_23,0.911
2044_24,0.7528
2044_25,0.714
2044_26,0.8758
2044_27,0.8308
2044_28,0.9524
2044_29,0.8082
2044_3,0.763
2044_30,0.8508
2044_31,0.7934
2044_32,0.0108
2044_33,0.8156
2044_34,0.6628
2044_35,0.7236
2044_36,0.8186
2044_37,0.7294
2044_38,0.8784
2044_39,0.9476
2044_4,0.7502
2044_40,0.6884
2044_41,0.9036
2044_42,0.7542
2044_43,0.7874
2044_44,0.7404
2044_45,0.7568
2044_46,0.8762
2044_47,0.7234
2044_48,0.7576
2044_49,0.6596
2044_5,0.8842
2044_50,0.8246
2044_51,0.8466
2044_52,0.7356
2044_53,0.7006
2044_54,0.9142
2044_55,0.751
2044_56,0.734
2044_57,0.907
2044_58,0.0046
2044_59,0.7674
2044_6,0.7132
2044_60,0.6876
2044_61,0.7574
2044_62,0.727
2044_63,0.7416
2044_64,0.0556
2044_65,0.6406
2044_66,0.8352
2044_67,0.878
2044_68,0.8434
2044_69,0.8408
2044_7,0.7888
2044_70,0.8274
2044_71,0.8302
2044_72,0.79
2044_73,0.7642
2044_74,0.862
2044_75,0.6832
2044_76,0.8458
2044_77,0.7974
2044_78,0.7234
2044_79,0.7536
2044_8,0.8842
2044_80,0.8026
2044_81,0.9286
2044_82,0.7316
2044_83,0.8396
2044_84,0.669
2044_85,0.6672
2044_86,0.7924
2044_87,0.8196
2044_88,0.7414
2044_89,0.0652
2044_9,0.8454
2044_90,0.8754
2044_91,0.753
2044_92,0.8574
2044_93,0.9466
2044_94,0.8072
2044_95,0.7264
2044_96,0.877
2044_97,0.8498
2044_98,0.8222
2044_99,0.8112
1582_1,0.9804
1582_10,0.7606
1582_100,0.0682
1582_101,0.7442
1582_102,0.7372
1582_103,0.724
1582_104,0.7774
1582_105,0.9006
1582_106,0.7372
1582_107,0.7252
1582_108,0.7596
1582_109,0.8916
1582_11,0.937
1582_110,0.7498
1582_111,0.7604
1582_112,0.7484
1582_113,0.7208
1582_114,0.7862
1582_115,0.7498
1582_116,0.8498
1582_117,0.8254
1582_118,0.7724
1582_119,0.6634
1582_12,0.6372
1582_120,0.7526
1582_121,0.8978
1582_122,0.7444
1582_123,0.786
1582_124,0.8038
1582_125,0.7286
1582_126,0.7864
1582_127,0.6476
1582_128,0.6848
1582_129,0.749
1582_13,0.9874
1582_130,0.6756
1582_131,0.6932
1582_132,0.7716
1582_133,0.8186
1582_134,0.843
1582_135,0.7374
1582_136,0.7574
1582_137,0.9848
1582_138,0.8384
1582_139,0.7934
1582_14,0.7144
1582_140,0.9248
1582_141,0.7408
1582_142,0.8968
1582_143,0.0244
1582_144,0.7938
1582_145,0.7398
1582_146,0.7154
1582_147,0.744
1582_148,0.975
1582_149,0.0684
1582_15,0.8144
1582_150,0.864
1582_151,0.7628
1582_152,0.6822
1582_153,0.7852
1582_154,0.6878
1582_155,0.7182
1582_156,0.807
1582_157,0.8436
1582_158,0.8538
1582_159,0.8494
1582_16,0.8036
1582_160,0.7886
1582_161,0.7174
1582_162,0.737
1582_163,0.8232
1582_164,0.7224
1582_165,0.753
1582_166,0.7352
1582_167,0.7462
1582_168,0.9228
1582_169,0.8458
1582_17,0.971
1582_170,0.7012
1582_171,0.6984
1582_172,0.768
1582_173,0.76
1582_174,0.8398
1582_175,0.7642
1582_176,0.8856
1582_177,0.6634
1582_178,0.9324
1582_179,0.7028
1582_18,0.688
1582_180,0.0704
1582_181,0.792
1582_182,0.9642
1582_183,0.774
1582_184,0.8944
1582_185,0.96
1582_186,0.6674
1582_187,0.7412
1582_188,0.8514
1582_189,0.9778
1582_19,0.995
1582_190,0.6918
1582_191,0.7902
1582_192,0.8806
1582_193,0.8572
1582_194,0.6966
1582_195,0.7344
1582_196,0.873
1582_197,0.7624
1582_198,0.8294
1582_199,0.8592
1582_2,0.7582
1582_20,0.7322
1582_200,0.7502
1582_21,0.8386
1582_22,0.75
1582_23,0.9576
1582_24,0.968
1582_25,0.8284
1582_26,0.8436
1582_27,0.6806
1582_28,0.791
1582_29,0.9574
1582_3,0.9274
1582_30,0.8508
1582_31,0.9358
1582_32,0.9158
1582_33,0.7226
1582_34,0.6942
1582_35,0.8686
1582_36,0.805
1582_37,0.7916
1582_38,0.8718
1582_39,0.939
1582_4,0.8094
1582_40,0.695
1582_41,0.7752
1582_42,0.7652
1582_43,0.8268
1582_44,0.6952
1582_45,0.936
1582_46,0.7798
1582_47,0.7718
1582_48,0.9342
1582_49,0.8168
1582_5,0.7042
1582_50,0.7012
1582_51,0.9158
1582_52,0.9596
1582_53,0.0148
1582_54,0.6916
1582_55,0.8874
1582_56,0.8046
1582_57,0.7478
1582_58,0.9016
1582_59,0.9064
1582_6,0.868
1582_60,0.6848
1582_61,0.964
1582_62,0.7386
1582_63,0.8046
1582_64,0.7444
1582_65,0.7042
1582_66,0.8042
1582_67,0.8928
1582_68,0.8636
1582_69,0.6904
1582_7,0.6978
1582_70,0.0112
1582_71,0.778
1582_72,0.8674
1582_73,0.741
1582_74,0.7436
1582_75,0.6674
1582_76,0.9224
1582_77,0.735
1582_78,0.9112
1582_79,0.8642
1582_8,0.887
1582_80,0.7124
1582_81,0.7398
1582_82,0.8522
1582_83,0.8564
1582_84,0.7232
1582_85,0.755
1582_86,0.8216
1582_87,0.7238
1582_88,0.7916
1582_89,0.7418
1582_9,0.8754
1582_90,0.6908
1582_91,0.8568
1582_92,0.8096
1582_93,0.8608
1582_94,0.9188
1582_95,0.759
1582_96,0.8986
1582_97,0.7348
1582_98,0.768
1582_99,0.7552
1675_1,0.999
1675_10,0.995
1675_100,0.983
1675_101,0.9848
1675_102,0.9082
1675_103,0.8932
1675_104,0.9552
1675_105,0.9964
1675_106,0.9986
1675_107,0.813
1675_108,0.9874
1675_109,0.69
1675_11,0.9644
1675_110,0.903
1675_111,0.83
1675_112,0.78
1675_113,0.9326
1675_114,0.8302
1675_115,0.9936
1675_116,0.86
1675_117,0.999
1675_118,0.9362
1675_119,0.0012
1675_12,0.9706
1675_120,0.8224
1675_121,0.981
